profile,follower
77104,2702426
74111,971893
79047,1057745
77726,7598540
79162,148205
78889,144128
80048,643029
78889,157337
80048,806907
79537,195806
78889,178524
74111,1187613
74111,1230127
80458,285211
80458,430721
80740,1051418
79481,1875832
79537,316278
80496,105493
79481,2426021
79537,388334
80458,1140289
79459,3182930
80496,130180
80458,1397197
79313,539996
74111,1394147
80740,4187512
80740,11358712
80458,4255794
79162,2254885
79537,523287
80458,8198569
79928,181712
79537,649650
80496,234826
80496,235780
80740,74947059
74111,1541669
80458,13787471
80496,285211
74111,1599965
80496,314713
80740,246182073
79481,3908089
79459,14318458
79459,20493173
79537,1199434
79537,1211514
79537,1694900
78889,3476842
78889,21581289
79537,1952658
78889,40093871
79537,2163750
79537,2231454
80370,330249
78889,74947059
78889,96063790
79537,4544150
78889,114908761
79537,5633889
79481,47103979
80496,486642
80370,548591
79481,70176813
79481,328119949
80496,758861
80496,804983
80978,136459
75440,143803176
79537,17229254
79313,1102205
80370,647966
80496,1309168
80370,816846
74111,2048563
80978,319207
80496,2270393
77247,45982673
79537,117576523
80978,414495
80978,426168
80370,1327218
80853,274597
80978,987161
80856,1000477
79928,16285700
80496,74947059
80370,2827233
80370,2912836
74111,3128081
81421,159438
81437,451066
81407,1541322
80856,14148471
74111,4328578
81131,223832
81131,237814
79313,5675004
77247,318797841
75440,162753938
80978,28757974
80856,22760163
80978,118568455
79313,7874118
81131,532610
75440,195736340
82250,191534
81520,426233
79313,12290328
80853,11104219
79313,12322272
80856,38465939
81131,907979
82522,1154228
82522,1171466
82522,2374452
81445,1165627
81520,1747799
82522,47429324
74111,7265058
80853,23661654
81520,2245471
81445,2055183
79313,18277227
81805,66674565
79313,20588838
81131,2246003
81445,4193632
81520,10021461
81445,10434689
82250,4159761
81131,4392210
83810,158574
82748,15766109
79313,24542137
82751,485877
81131,10168019
82250,74947059
80856,222319181
80856,265295201
81445,47033331
74111,9904594
83202,373553
81445,90634833
83810,67187134
81445,141011318
81445,170299946
74111,11104219
79313,33563519
85157,251115
83202,834694
84763,135770
84194,172162
84975,254781
84975,288885
84975,311264
84975,885185
84975,965561
81169,8586070
84194,202614
84975,1286318
84975,1408939
84741,854673
85157,1648528
84975,2397154
84741,1563854
84741,1932920
84975,5831925
84975,9731053
84975,10280053
84741,4549615
84975,27025289
84741,4682530
80853,281414939
79313,46807975
84194,1102205
85187,192339
84741,7049172
85376,3006507
83202,2496296
84741,12100035
85187,230955
85270,200253
83202,4036514
84194,7622472
84741,53406855
79313,61214916
84741,74947059
79313,63002267
85270,2399007
85270,3006507
86137,1310035
86137,4036514
86137,8114322
86137,8603782
86137,10728087
86137,11101994
75440,320057599
86290,668165
